win percent,lose percent,wins,loses,nothing
1.2,-5.5,158,4,1242
1.2,-5.6,158,4,1242
1.2,-5.7,158,4,1242
1.2,-5.8,158,4,1242
1.2,-5.9,158,3,1243
1.2,-6.0,158,3,1243
1.2,-6.1,158,3,1243
1.2,-6.2,158,3,1243
1.2,-6.3,158,3,1243
1.2,-6.4,158,3,1243
1.2,-6.5,158,2,1244
1.2,-6.6,158,2,1244
1.2,-6.7,158,2,1244
1.2,-6.8,158,2,1244
1.2,-6.9,158,2,1244
1.2,-7.0,159,1,1244
1.2,-7.1,159,1,1244
1.2,-7.2,159,1,1244
1.2,-7.3,159,1,1244
1.2,-7.4,159,0,1245
1.3,-0.1,52,843,509
1.3,-0.2,60,769,575
1.3,-0.3,73,674,657
1.3,-0.4,87,569,748
1.3,-0.5,94,468,842
1.3,-0.6,97,379,928
1.3,-0.7,99,315,990
1.3,-0.8,102,266,1036
1.3,-0.9,104,226,1074
1.3,-1.0,106,192,1106
